,,,,,,,,Waldo:,Detected ppl,,EnOcean,,,,,,
1/13/23 9:00:18, preHW2,2,2,in/in,"two people walk in back to back, about 4 seconds",,in,in,1,,miss,,,,,,
1/13/23 9:02:36, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 9:06:49, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 9:07:28, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/13/23 9:07:46, preHW2,1,1,out,,,,in,1,,miss,,,,,,
1/13/23 9:49:10, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 9:53:27, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 9:56:27, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/13/23 9:58:40, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 10:03:50, preHW2,2,2,in/in,"two people walk in side by side, about 6 seconds",,,in/pbo,2,,hit,,,,,,
1/13/23 10:04:04, preHW2,2,2,out/out,"two people walk iout back to back, about 5 seconds",,,in,1,,miss,,,,,,
